,rust-lang/rust,swiftlang/swift,golang/go
2012-05-31,34.16146592526874,17,8
2012-06-01,-1.4287911128109414,5,5
2012-06-02,14.575403308270316,10,9
2012-06-03,3.8457045737249995,4,7
2012-06-04,2.0473297803937527,15,22
2012-06-05,10.761816360740626,12,8
2012-06-06,16.193307834554687,1,13
2012-06-07,43.61736617546563,10,15
2012-06-08,-2.2433813898406285,7,9
2012-06-09,9.966363287009376,3,0
2012-06-10,-10.542508646378124,1,1
2012-06-11,-4.118506020315625,1,3
2012-06-12,1.2333271120921871,0,2
2012-06-13,21.56401345641406,0,16
2012-06-14,8.006996633924997,0,5
2012-06-15,32.74729403082656,0,3
2012-06-16,-5.3650223188453126,0,0
2012-06-17,-11.193711027542186,4,0
