period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
1_month_shifted,T1,108_2,365,15,2.6406767386857783,4.161804668167827,3.2461393875763007,30,96.1469263963664,0.9953057892765217
1_month_shifted,T2,108_2,731,5,1.5710174985844583,1.8776329287717641,1.6894184580728375,10,24.60834816372622,0.9942697126278104
1_month_shifted,T3,108_2,1096,5,0.9428669924199382,1.1642460925556293,1.0266877693555425,10,31.566890796470233,0.9352084572669012
1_month_shifted,T4,108_2,1461,9,0.44821001746876177,0.754731966174413,0.5626100855327962,10,4.074213179309869,0.9064603856103062
2_month_shifted,T1,108_2,365,12,2.5587523341330445,3.782268277412084,3.0457548995449866,24,67.98592603834217,0.9990671400624404
2_month_shifted,T2,108_2,731,5,1.5912677891734817,1.8978832193607875,1.709668748661861,10,26.797296344486075,0.9857546608562265
2_month_shifted,T3,108_2,1096,5,0.9689983981044233,1.1903774982401143,1.0528191750400275,10,29.01525826238823,0.9690617775415313
2_month_shifted,T4,108_2,1461,9,0.4125998262612036,0.7191217749668548,0.5269998943252381,10,3.6185522582617944,0.9346804502199395
3_month_shifted,T1,108_2,365,5,1.7028766836752756,2.231964659147293,1.9134723876371966,10,15.689895334825938,0.9999854002906495
3_month_shifted,T2,108_2,731,5,1.347106034985735,1.6537214651730405,1.4655069944741141,10,18.3060486191463,0.9998623603289214
3_month_shifted,T3,108_2,1096,5,0.7034521115339394,0.9248312116696304,0.7872728884695437,10,23.043545599121916,0.9973070709070785
3_month_shifted,T4,108_2,1461,5,0.156925746057061,0.33208114531743316,0.22229721352222354,10,25.823274323354276,0.99031493742082
original,T1,108_3,365,1,-1.2262406718109782,-1.0939686779429738,-1.1735917458204979,10,62.46188166847453,0.9372165380540485
original,T2,108_3,731,7,-0.19323849484705838,0.22835772166048712,-0.030437175550536766,10,13.952536648821638,0.9817137086091621
1_month_shifted,T1,108_3,365,1,-0.8524360072799204,-0.7201640134119162,-0.7997870812894402,10,42.2232270331747,0.9998860206822893
1_month_shifted,T2,108_3,731,7,-0.23313417962959912,0.18846203687794638,-0.07033286033307751,10,13.447240190871051,0.9860894853407952
2_month_shifted,T1,108_3,365,1,-1.178210397408543,-1.0459384035405386,-1.1255614714180626,10,43.09721858825851,0.9998277967468245
2_month_shifted,T2,108_3,731,7,-0.43694283448164495,-0.015346617974099419,-0.2741415151851233,10,22.349562109550604,0.7194097054425196
3_month_shifted,T1,108_3,365,13,1.1414941883498084,2.4642141270298517,1.6679834482546105,26,83.99896056910882,0.9907930896892384
3_month_shifted,T2,108_3,731,7,-0.4794494218533709,-0.05785320534582539,-0.3166481025568493,10,18.552779574754894,0.8857182379977003
original,T1,109_0,365,8,6.230753620225656,7.057453581900682,6.559809407666156,10,16.409873240152343,0.5639656444757369
original,T2,109_0,731,7,8.852682853402388,9.274279069909934,9.01548417269891,10,42.42001591690753,0.029907546988254905
original,T3,109_0,1096,8,10.412801922271509,10.758706766233525,10.54377188623339,10,24.097411142860857,0.1518622682921677
original,T4,109_0,1461,8,11.079305518802876,11.352985830147208,11.181448436717194,10,33.703349864253845,0.013700608201611272
1_month_shifted,T1,109_0,365,8,6.611766589101542,7.438466550776568,6.940822376542043,10,15.272302499268752,0.6431927405066595
1_month_shifted,T2,109_0,731,7,9.022815841527462,9.444412058035008,9.185617160823984,10,49.49675641314059,0.005199466132215186
1_month_shifted,T3,109_0,1096,8,10.511550916792238,10.857455760754254,10.64252088075412,10,25.000057923391687,0.12491460143191321
1_month_shifted,T4,109_0,1461,8,11.080154302697164,11.353834614041496,11.182297220611481,10,33.61544096704642,0.014045003032582595
2_month_shifted,T1,109_0,365,7,6.761947694133422,7.489443660407446,7.051516787081063,10,27.211590592671932,0.4524244780548499
2_month_shifted,T2,109_0,731,13,9.142789684582441,9.909328260050707,9.43879208330339,26,144.4045142735172,0.04355078645263051
2_month_shifted,T3,109_0,1096,8,10.635397105559665,10.981301949521681,10.766367069521547,10,31.934873009290197,0.02238080051268768
2_month_shifted,T4,109_0,1461,8,11.073013368201849,11.346693679546181,11.175156286116167,10,32.80660478780642,0.017612426255833858
3_month_shifted,T1,109_0,365,8,8.067247932233874,8.893947893908901,8.396303719674375,10,24.58357596444152,0.1368230648510635
3_month_shifted,T2,109_0,731,7,9.464116371117514,9.88571258762506,9.626917690414036,10,42.042884715592095,0.03259629356727892
3_month_shifted,T3,109_0,1096,8,10.713409765979414,11.05931460994143,10.844379729941295,10,29.849632274919923,0.03893428919265588
3_month_shifted,T4,109_0,1461,8,11.11057527051871,11.384255581863043,11.212718188433028,10,31.593532706222437,0.02455102597814904
original,T1,109_1,365,7,9.85890851558006,10.586404481854084,10.1484776085277,10,25.789723787394646,0.5302929972951844
original,T2,109_1,731,7,9.586479253557041,10.008075470064586,9.749280572853563,10,24.89067048820042,0.5805890241975917
original,T3,109_1,1096,10,9.29059127824463,9.719513284757532,9.452994033557363,20,103.77665143735895,0.1520217352246077
original,T4,109_1,1461,10,9.142674093654197,9.482037679721168,9.26933131186795,20,106.15772509172753,0.11741944294567588
1_month_shifted,T1,109_1,365,7,9.829897412107861,10.557393378381885,10.119466505055502,10,22.659620740447867,0.7031562105967168
1_month_shifted,T2,109_1,731,7,9.577296310449476,9.998892526957022,9.740097629745998,10,28.31849947932068,0.394695289977026
1_month_shifted,T3,109_1,1096,8,9.234192732414385,9.580097576376401,9.365162696376267,10,24.94690163836687,0.1263858138640628
1_month_shifted,T4,109_1,1461,10,9.172230812564711,9.511594398631683,9.298888030778464,20,104.86460128782844,0.13538545795370555
2_month_shifted,T1,109_1,365,7,9.784804746516837,10.51230071279086,10.074373839464478,10,25.9109327905796,0.5235478785859402
2_month_shifted,T2,109_1,731,7,9.700430043948714,10.12202626045626,9.863231363245236,10,26.565271328864373,0.4874275924290541
2_month_shifted,T3,109_1,1096,8,9.261616559713088,9.607521403675104,9.39258652367497,10,26.190129967558978,0.09548944111287545
2_month_shifted,T4,109_1,1461,10,9.169039697343631,9.508403283410603,9.295696915557384,20,111.89130627150557,0.058878833459634294
3_month_shifted,T1,109_1,365,7,9.626669581268569,10.354165547542593,9.91623867421621,10,24.151932872196795,0.6218755357070336
3_month_shifted,T2,109_1,731,8,9.570676410548234,10.0497630202159,9.755677909748828,10,19.200752651716485,0.37956036221970424
3_month_shifted,T3,109_1,1096,10,9.148617279155706,9.577539285668609,9.31102003446844,20,110.63696422845163,0.06903209051334977
3_month_shifted,T4,109_1,1461,9,9.014042639088824,9.320564587794475,9.128442707152859,10,17.457973340175567,0.042008907888792454
original,T1,109_2,365,7,6.763806575806067,7.49130254208009,7.0533756687537075,10,35.77716693782351,0.12025112107410617
original,T2,109_2,731,7,6.44868014038545,6.870276356892996,6.611481459681972,10,39.92472652179146,0.05207351764254793
original,T3,109_2,1096,7,5.9649083430403875,6.269304605726963,6.080161911326844,10,44.8027582702012,0.01705675928824528
