,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2016-05-19,21,10.58734225279375,12
2016-05-20,13,8.649085739595312,15
2016-05-21,10,-0.15891138235312363,0
2016-05-22,0,-2.194914087160935,0
2016-05-23,3,11.53326719444844,0
2016-05-24,8,8.560119526714065,0
2016-05-25,12,5.383189980362501,11
2016-05-26,7,13.661392106546876,8
2016-05-27,12,8.025337937242188,8
2016-05-28,0,0.24950996955937566,0
2016-05-29,0,2.105818418021876,0
2016-05-30,0,0.3777692536421895,17
2016-05-31,26,7.697629672046878,10
2016-06-01,18,10.142949953860938,4
2016-06-02,20,13.715784590479688,7
2016-06-03,3,15.115907475212499,9
2016-06-04,1,-1.4057582224968757,0
2016-06-05,0,-2.0507918769421867,1
2016-06-06,4,6.668883685329689,4
2016-06-07,6,16.202687547575003,8
2016-06-08,26,8.061944422787501,14
2016-06-09,23,7.224941705989062,5
2016-06-10,4,8.34681020381875,5
2016-06-11,0,-2.6931576673562487,0
2016-06-12,2,0.4269989283218769,0
2016-06-13,5,9.760127249928127,14
2016-06-14,12,10.000529825875002,16
2016-06-15,8,6.5776445116812505,7
2016-06-16,10,11.69302511118125,8
2016-06-17,11,3.2833778331984376,12
2016-06-18,7,-1.127298243531249,0
2016-06-19,1,-0.40772040789531094,0
2016-06-20,7,5.950562815218753,16
2016-06-21,12,12.503258884256251,7
2016-06-22,12,14.647818424667188,3
2016-06-23,3,14.012535879928125,0
2016-06-24,14,4.685975504957812,10
2016-06-25,0,2.3491582276531253,0
2016-06-26,0,-1.0845862119812484,0
2016-06-27,12,2.54186153569844,5
2016-06-28,8,7.51877224635469,5
2016-06-29,17,-1.9458418987203108,4
2016-06-30,19,8.805619556981252,9
2016-07-01,6,5.184731803123438,6
2016-07-02,9,-0.6883869909859368,0
2016-07-03,0,-1.0238248816156246,0
2016-07-04,0,1.3344795268046887,4
2016-07-05,2,-0.6808203708484362,4
2016-07-06,1,4.525189897715626,9
2016-07-07,5,4.1482225271765625,2
2016-07-08,9,9.04717398359375,2
2016-07-09,0,-1.5617939127187506,1
2016-07-10,0,-0.7904968057671873,0
2016-07-11,1,2.500517504964063,5
2016-07-12,6,4.327844561468751,8
2016-07-13,6,3.0657562511781253,6
2016-07-14,4,3.054569828671875,5
