,elastic/kibana,getsentry/sentry,grafana/grafana
2014-12-17,29,-15.807024127999998,6
2014-12-18,53,33.13934653439999,5
2014-12-19,49,10.634616729599998,11
2014-12-20,6,-0.5426554880000012,0
2014-12-21,0,-7.982435532800004,0
2014-12-22,20,5.898699775999997,1
2014-12-23,10,1.5672898560000021,2
2014-12-24,13,-0.39962982399999447,1
2014-12-25,0,-5.802456780799997,0
2014-12-26,8,-3.7014418431999987,3
2014-12-27,0,10.367758950400003,0
2014-12-28,0,-2.1930455039999988,4
2014-12-29,33,3.5720462335999996,6
2014-12-30,50,18.362677248,17
2014-12-31,4,26.286052352000002,11
2015-01-01,0,-9.036359270399998,4
2015-01-02,8,49.7996110848,0
2015-01-03,1,-1.468190310399999,0
2015-01-04,16,-2.674922496000004,18
2015-01-05,66,1.7094059007999984,14
2015-01-06,36,-3.5908476928000015,12
2015-01-07,31,-2.0287570944000004,5
2015-01-08,23,3.7225496576000014,16
2015-01-09,42,10.3637763072,7
2015-01-10,0,-2.8301178879999966,1
2015-01-11,2,-3.085260185599999,4
2015-01-12,15,19.4694981632,17
2015-01-13,20,12.790219161600001,2
2015-01-14,13,17.9899107328,12
2015-01-15,15,23.2427236352,9
2015-01-16,36,15.906915635199999,24
2015-01-17,4,-10.295622860800002,6
2015-01-18,1,-5.466399129600003,6
2015-01-19,31,7.349417779199998,8
2015-01-20,24,19.037669888000003,11
2015-01-21,35,8.095694745600001,13
2015-01-22,26,7.7263694848,2
2015-01-23,19,20.0130217984,3
2015-01-24,4,2.7840736256000014,0
2015-01-25,1,-4.979383910400002,2
2015-01-26,12,3.7549388799999974,10
2015-01-27,12,9.482393087999998,11
2015-01-28,25,-4.688399462399999,14
2015-01-29,22,6.5874217984,6
2015-01-30,26,7.8106356736,8
2015-01-31,25,6.257825280000001,1
2015-02-01,0,4.262287155200001,8
2015-02-02,40,2.782639411199999,13
2015-02-03,40,12.295996723199998,18
2015-02-04,25,15.609570508800001,19
2015-02-05,56,36.9973325824,15
2015-02-06,42,30.702792089600003,15
2015-02-07,8,-13.511751168,11
2015-02-08,0,-5.469415116800004,6
2015-02-09,22,17.729343897599996,4
2015-02-10,37,-0.2891544575999987,6
2015-02-11,49,17.760534835199998,8
2015-02-12,12,26.238398361599998,8
2015-02-13,14,23.228934553600002,10
2015-02-14,0,-5.0332353535999985,3
2015-02-15,0,-7.144973619200002,17
2015-02-16,2,6.097146265599997,4
2015-02-17,11,4.284678963200001,3
2015-02-18,43,33.386293964800004,11
2015-02-19,15,8.881608908800002,3
2015-02-20,18,16.446164070400002,8
2015-02-21,1,-0.38473574399999855,2
2015-02-22,0,-0.3989324800000009,6
2015-02-23,10,16.3794715648,18
2015-02-24,14,31.0389554176,6
2015-02-25,11,1.7543059455999988,8
2015-02-26,13,16.977942528,9
2015-02-27,19,4.4716063744,2
2015-02-28,3,-4.559928320000001,17
2015-03-01,1,-3.750304870400001,3
2015-03-02,25,13.934377471999998,6
2015-03-03,15,27.5301036032,26
2015-03-04,19,21.542990643200003,8
2015-03-05,6,-4.587603353599999,16
2015-03-06,25,18.8678605824,4
2015-03-07,4,4.453368729600001,22
2015-03-08,1,-5.805586944000002,0
2015-03-09,4,3.1017350143999973,3
2015-03-10,2,22.0025004032,19
2015-03-11,7,3.331376844800003,12
2015-03-12,1,-0.9027045375999991,13
2015-03-13,2,1.9982968832,8
2015-03-14,1,-4.306685644799999,4
2015-03-15,42,-2.6635869183999996,0
2015-03-16,7,-1.7343696896000003,0
2015-03-17,26,-1.2306234368,13
2015-03-18,6,2.0073315328000016,6
2015-03-19,4,1.6461130752000017,5
2015-03-20,5,9.805554483200002,11
2015-03-21,2,11.240469913600002,9
2015-03-22,0,-2.0120854528,8
2015-03-23,24,40.774592,8
2015-03-24,17,-0.9394943999999992,12
2015-03-25,14,-0.19936256000000352,24
2015-03-26,12,11.272635903999998,14
2015-03-27,13,0.8393596927999996,9
2015-03-28,1,-2.8419525632000013,10
2015-03-29,0,2.5896933375999995,20
2015-03-30,14,0.49812951039999964,16
2015-03-31,15,10.061700403200001,10
2015-04-01,15,0.4519554048000014,9
2015-04-02,14,2.9029484543999997,8
2015-04-03,40,8.0240198656,0
2015-04-04,1,-0.9155938303999989,2
2015-04-05,0,-1.5673043968000009,0
2015-04-06,16,14.258173747199999,5
2015-04-07,23,11.5986256896,9
2015-04-08,32,4.6461799424,5
2015-04-09,41,19.2814747648,5
2015-04-10,21,-4.327289344,11
2015-04-11,0,-3.2504658944000013,0
2015-04-12,0,-1.8606895104000012,20
2015-04-13,21,38.8647559168,10
2015-04-14,21,19.240547737600004,5
2015-04-15,21,8.672520601599999,16
2015-04-16,11,-1.9580504064000017,3
2015-04-17,24,52.743656447999996,1
2015-04-18,1,-14.673159065599998,0
2015-04-19,0,-7.541247283200005,14
2015-04-20,15,22.054328217599995,25
2015-04-21,26,36.9094603776,11
2015-04-22,20,42.7066797056,15
2015-04-23,38,-2.3602999296,11
2015-04-24,40,9.768063078399996,6
2015-04-25,7,-10.604159180799998,7
2015-04-26,0,-6.119512985600002,9
2015-04-27,21,18.261632409599997,14
2015-04-28,38,20.792685056000003,13
2015-04-29,31,16.426416947200003,31
2015-04-30,26,5.0029131776000035,9
2015-05-01,53,-5.884109004799999,11
2015-05-02,0,-5.291122790400001,6
2015-05-03,0,-3.431246540800001,1
2015-05-04,31,12.6203211776,5
2015-05-05,35,-1.8952152063999987,14
2015-05-06,30,-2.3645289471999984,6
2015-05-07,26,0.7578066944000019,8
2015-05-08,30,-0.9456560127999984,5
2015-05-09,1,2.7854872576000003,7
2015-05-10,5,3.5219519488,2
2015-05-11,22,29.1904768,5
2015-05-12,24,31.81076736,4
2015-05-13,9,-2.9883525119999987,10
2015-05-14,8,-1.6011487232000032,5
2015-05-15,20,-4.835554406400002,5
2015-05-16,2,-3.1076626432000016,4
2015-05-17,0,-0.29265059840000074,3
2015-05-18,34,3.7844445184,12
2015-05-19,22,3.1803816960000013,7
2015-05-20,14,3.038771609600003,6
2015-05-21,22,-1.7212399615999985,5
2015-05-22,19,2.6076346368,2
2015-05-23,4,-1.626020352,1
2015-05-24,0,-0.8792422400000006,0
2015-05-25,1,-0.6317245440000002,8
2015-05-26,18,3.5046659072,2
2015-05-27,14,8.814724505600001,5
2015-05-28,23,23.4202157056,3
2015-05-29,6,14.6510893056,4
2015-05-30,9,23.0355798016,0
2015-05-31,0,10.5839785984,0
2015-06-01,10,-0.618675200000002,9
2015-06-02,32,15.718469119999998,11
2015-06-03,39,42.697777152,24
2015-06-04,21,8.1550659584,6
2015-06-05,37,0.017380863999997942,5
2015-06-06,1,1.8257893375999998,1
2015-06-07,0,-6.734844518399999,0
2015-06-08,8,29.022181888,6
2015-06-09,13,22.822726656,4
2015-06-10,25,13.2065584128,6
2015-06-11,19,-0.22905518079999965,6
2015-06-12,25,-4.3466276864,3
2015-06-13,10,-5.523094323200001,11
2015-06-14,1,-3.550090956800001,2
2015-06-15,34,4.3987905536,2
2015-06-16,16,22.613750681600003,0
2015-06-17,23,-7.408781209599997,1
2015-06-18,7,3.5449095168000007,4
2015-06-19,11,-0.4209054719999994,8
2015-06-20,3,-2.4070657024,0
2015-06-21,1,-1.4328150016000007,0
2015-06-22,19,10.971164159999999,10
2015-06-23,13,-2.2203607039999995,1
2015-06-24,10,17.159024435200003,2
2015-06-25,30,6.040023449600001,3
2015-06-26,33,-1.3226941440000006,13
2015-06-27,0,13.1375194112,1
2015-06-28,0,6.0855103488,1
2015-06-29,7,33.297666559999996,10
2015-06-30,9,2.7925775360000014,11
2015-07-01,5,20.5074476032,1
2015-07-02,2,17.224507801599998,3
2015-07-03,0,-8.5945194496,4
2015-07-04,0,-5.987038310400003,2
2015-07-05,1,-3.9588677632000007,0
2015-07-06,3,0.01522780159999959,11
2015-07-07,6,11.167378329600002,7
2015-07-08,10,2.2225266688000023,18
2015-07-09,22,11.2731634688,8
2015-07-10,25,0.895736524800002,12
2015-07-11,0,-3.6484558848,0
2015-07-12,3,-0.8789291008000011,1
2015-07-13,15,21.492464639999998,6
2015-07-14,24,-2.687778815999999,5
2015-07-15,26,27.6950289408,11
2015-07-16,33,39.7706415104,6
2015-07-17,6,20.5730025472,10
2015-07-18,0,9.890076671999998,7
2015-07-19,3,1.6961867775999977,1
2015-07-20,3,10.058595327999996,10
2015-07-21,3,-2.3395876864000016,11
2015-07-22,36,24.979707084799998,1
2015-07-23,15,-2.8866168831999985,1
2015-07-24,8,1.411101081600001,2
2015-07-25,3,-2.4389839871999985,0
2015-07-26,6,-4.5210218495999985,0
2015-07-27,11,20.2236034048,2
2015-07-28,24,19.493635276800003,0
2015-07-29,13,23.553058918399998,6
2015-07-30,14,18.4468908032,5
2015-07-31,5,-5.1289765888000005,6
2015-08-01,10,2.1861209087999978,3
