,apache/commons-io,google/guava,apache/commons-lang
2011-11-15,0,1,4
2011-11-16,6,4,4
2011-11-17,0,5,4
2011-11-18,0,2,0
2011-11-19,0,0,0
2011-11-20,0,0,0
2011-11-21,0,2,0
2011-11-22,0,3,1
2011-11-23,0,3,1
2011-11-24,0,0,1
2011-11-25,0,0,0
2011-11-26,0,0,0
2011-11-27,0,0,2
2011-11-28,0,0,0
2011-11-29,0,0,0
2011-11-30,0,2,0
2011-12-01,0,0,0
2011-12-02,0,3,0
2011-12-03,0,0,0
2011-12-04,0,0,0
2011-12-05,0,4,0
2011-12-06,0,4,0
2011-12-07,0,0,0
2011-12-08,0,0,0
2011-12-09,0,11,0
2011-12-10,0,1,0
2011-12-11,0,0,0
2011-12-12,0,2,0
2011-12-13,0,12,0
2011-12-14,0,6,0
2011-12-15,0,1,0
2011-12-16,0,4,0
2011-12-17,0,1,0
2011-12-18,0,0,0
2011-12-19,0,0,0
2011-12-20,0,0,0
2011-12-21,0,9,0
2011-12-22,0,1,0
2011-12-23,0,0,1
2011-12-24,0,0,0
2011-12-25,0,0,0
2011-12-26,0,0,0
2011-12-27,0,0,0
2011-12-28,0,1,6
2011-12-29,0,0,0
2011-12-30,0,0,0
2011-12-31,0,0,0
2012-01-01,0,0,0
2012-01-02,0,0,0
2012-01-03,0,3,0
2012-01-04,0,4,0
2012-01-05,0,3,0
2012-01-06,0,2,0
2012-01-07,4,0,0
2012-01-08,0,0,0
2012-01-09,0,0,0
2012-01-10,0,0,0
2012-01-11,0,5,0
2012-01-12,0,0,0
2012-01-13,0,1,0
2012-01-14,0,0,0
2012-01-15,0,0,0
2012-01-16,0,0,0
2012-01-17,0,2,0
2012-01-18,0,0,0
2012-01-19,0,1,0
2012-01-20,3,0,0
2012-01-21,0,0,0
2012-01-22,0,0,0
2012-01-23,2,1,1
2012-01-24,0,0,0
2012-01-25,0,4,0
2012-01-26,0,1,2
2012-01-27,0,0,0
2012-01-28,0,0,0
2012-01-29,0,0,0
2012-01-30,0,5,0
2012-01-31,0,0,0
2012-02-01,0,0,0
2012-02-02,0,0,0
2012-02-03,0,0,0
2012-02-04,0,0,0
2012-02-05,0,0,0
2012-02-06,0,0,0
2012-02-07,0,0,0
2012-02-08,0,1,0
2012-02-09,0,2,0
2012-02-10,0,20,0
2012-02-11,0,0,1
2012-02-12,0,0,0
2012-02-13,0,3,0
2012-02-14,2,1,0
2012-02-15,0,1,0
2012-02-16,0,0,0
2012-02-17,4,0,0
2012-02-18,0,0,0
2012-02-19,0,0,1
2012-02-20,0,0,0
2012-02-21,0,7,0
2012-02-22,3,3,0
2012-02-23,0,5,0
2012-02-24,0,5,0
2012-02-25,0,0,1
2012-02-26,0,0,0
2012-02-27,1,0,0
2012-02-28,0,1,0
2012-02-29,0,3,8
2012-03-01,8,2,0
2012-03-02,0,2,1
2012-03-03,1,0,0
2012-03-04,0,0,1
2012-03-05,1,0,3
