,expressjs/express,django/django,pallets/flask
2012-06-11,1,2.0,0
2012-06-12,0,2.0,1
2012-06-13,0,3.0,1
2012-06-14,3,7.0,0
2012-06-15,10,1.0,0
2012-06-16,0,4.0,1
2012-06-17,3,2.0,9
2012-06-18,13,5.0,1
2012-06-19,0,5.0,0
2012-06-20,0,0.0,0
2012-06-21,2,0.0,0
2012-06-22,3,3.0,0
2012-06-23,0,7.0,0
2012-06-24,0,1.0,0
2012-06-25,2,2.0,5
2012-06-26,1,3.0,1
2012-06-27,5,4.0,4
2012-06-28,0,4.0,0
2012-06-29,1,1.0,0
2012-06-30,1,11.0,0
2012-07-01,0,8.0,8
2012-07-02,2,2.0,1
2012-07-03,6,8.0,0
2012-07-04,3,2.0,5
2012-07-05,2,4.0,0
2012-07-06,8,9.0,0
2012-07-07,0,9.0,0
2012-07-08,0,8.0,0
2012-07-09,0,2.0,0
2012-07-10,0,3.0,0
2012-07-11,1,3.0,0
2012-07-12,2,3.0,1
2012-07-13,4,2.0,0
2012-07-14,0,6.0,0
2012-07-15,0,7.0,0
2012-07-16,2,4.0,1
2012-07-17,1,8.0,0
2012-07-18,3,8.0,0
2012-07-19,0,2.0,0
2012-07-20,0,3.0,2
2012-07-21,1,7.0,3
2012-07-22,0,18.0,0
2012-07-23,1,2.0,0
2012-07-24,12,5.0,0
2012-07-25,1,21.0,0
2012-07-26,2,1.0,2
2012-07-27,0,0.0,0
2012-07-28,0,2.0,0
2012-07-29,0,2.0,0
2012-07-30,0,5.0,0
2012-07-31,0,1.0,0
2012-08-01,4,1.0,3
2012-08-02,0,7.0,0
2012-08-03,2,10.0,0
2012-08-04,0,13.0,0
2012-08-05,0,5.0,0
2012-08-06,0,4.0,0
2012-08-07,1,22.0,0
2012-08-08,0,16.0,0
2012-08-09,4,4.0,0
2012-08-10,1,7.0,0
2012-08-11,1,14.0,10
2012-08-12,0,18.0,0
2012-08-13,0,12.0,0
2012-08-14,5,28.0,0
2012-08-15,0,42.0,0
2012-08-16,2,16.0,0
2012-08-17,0,5.0,1
2012-08-18,0,34.0,0
2012-08-19,0,15.0,0
2012-08-20,0,11.0,1
2012-08-21,0,8.0,0
2012-08-22,1,3.0,0
2012-08-23,0,8.0,0
2012-08-24,0,4.0,0
2012-08-25,0,6.0,0
2012-08-26,0,3.0,3
2012-08-27,0,0.0,0
2012-08-28,3,6.0,0
2012-08-29,6,7.0,1
2012-08-30,3,9.0,0
2012-08-31,1,8.0,0
2012-09-01,0,9.0,0
2012-09-02,0,0.0,0
2012-09-03,5,2.0,0
2012-09-04,2,5.0,1
2012-09-05,0,5.0,0
2012-09-06,0,7.0,3
2012-09-07,0,40.0,0
2012-09-08,0,33.0,0
2012-09-09,0,8.0,0
2012-09-10,0,4.0,0
2012-09-11,0,2.0,0
2012-09-12,0,6.0,0
2012-09-13,2,3.0,1
2012-09-14,0,0.0,0
2012-09-15,0,13.0,1
2012-09-16,0,4.0,0
2012-09-17,0,11.0,0
2012-09-18,3,9.0,0
2012-09-19,1,5.0,0
2012-09-20,0,7.0,1
2012-09-21,0,5.0,0
2012-09-22,0,10.0,0
2012-09-23,0,8.0,1
2012-09-24,0,16.0,0
2012-09-25,2,5.0,0
2012-09-26,5,6.0,0
2012-09-27,1,8.0,0
2012-09-28,0,8.0,0
2012-09-29,0,11.0,0
2012-09-30,0,11.0,0
2012-10-01,0,7.0,2
2012-10-02,0,3.0,0
2012-10-03,0,8.0,0
2012-10-04,0,6.0,0
2012-10-05,2,10.0,1
2012-10-06,4,14.0,0
2012-10-07,0,4.0,31
2012-10-08,0,6.0,3
2012-10-09,2,12.0,1
2012-10-10,16,6.0,0
2012-10-11,0,10.0,1
2012-10-12,0,7.0,0
2012-10-13,0,8.0,0
2012-10-14,0,1.0,0
2012-10-15,1,13.0,0
2012-10-16,1,2.0,2
2012-10-17,0,5.0,4
2012-10-18,0,4.0,0
2012-10-19,3,1.0,1
2012-10-20,0,16.0,1
2012-10-21,0,7.0,0
2012-10-22,0,6.0,0
2012-10-23,2,2.0,0
2012-10-24,0,7.0,0
2012-10-25,0,17.0,0
2012-10-26,2,14.0,0
2012-10-27,2,12.0,0
2012-10-28,0,12.0,0
2012-10-29,0,6.0,0
2012-10-30,0,11.0,1
2012-10-31,0,7.0,0
2012-11-01,0,3.0,0
2012-11-02,2,8.0,0
2012-11-03,0,10.0,1
2012-11-04,3,14.0,0
2012-11-05,1,9.0,3
2012-11-06,0,4.0,0
2012-11-07,0,6.0,0
2012-11-08,8,2.0,0
2012-11-09,0,8.0,0
2012-11-10,0,4.0,0
2012-11-11,0,2.0,0
2012-11-12,0,2.0,0
2012-11-13,4,11.0,2
2012-11-14,0,3.0,0
2012-11-15,0,6.0,0
2012-11-16,0,3.0,3
2012-11-17,0,20.0,1
2012-11-18,0,4.0,0
2012-11-19,0,2.0,0
2012-11-20,1,6.0,0
2012-11-21,6,6.0,0
2012-11-22,0,15.0,0
2012-11-23,0,10.0,0
2012-11-24,0,15.0,0
2012-11-25,0,11.0,0
2012-11-26,0,0.0,0
2012-11-27,0,10.0,0
2012-11-28,0,9.0,0
2012-11-29,0,2.0,0
2012-11-30,0,1.0,0
