,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2016-06-12,-4.031163373492187,0,0
2016-06-13,20.5628315825,0,0
2016-06-14,-1.6914058905937512,0,0
2016-06-15,10.076670090071875,2,0
2016-06-16,0.013588451793749456,0,0
2016-06-17,14.882437338635938,0,0
2016-06-18,-9.449645407562501,0,0
2016-06-19,-4.286729502757811,2,0
2016-06-20,9.341109253017187,0,1
2016-06-21,5.448466298140623,8,0
2016-06-22,24.902755948285936,0,0
2016-06-23,7.841332336620312,0,0
2016-06-24,0.8660989054000012,3,0
2016-06-25,-8.785008857940625,12,0
2016-06-26,-2.586582277889061,5,0
2016-06-27,-3.5221545224999993,4,0
2016-06-28,3.5928876500624995,3,0
2016-06-29,9.333419420534373,0,0
2016-06-30,-4.910436590295314,0,0
2016-07-01,3.9524520694703122,3,0
2016-07-02,-3.728225590843751,6,0
2016-07-03,-1.6958495062937495,7,0
2016-07-04,-1.0144643585312498,2,0
2016-07-05,2.245580568534375,2,0
2016-07-06,15.52697252815625,2,0
2016-07-07,15.1151788914,3,0
2016-07-08,5.411337994957812,2,0
2016-07-09,-7.661707930592186,14,0
2016-07-10,-3.586507142629686,5,0
2016-07-11,4.748500662500001,2,0
2016-07-12,4.26095326625,2,0
2016-07-13,24.590114583453126,2,0
2016-07-14,17.008810751535936,0,0
2016-07-15,0.9681315904640613,2,0
2016-07-16,-9.902367462607812,1,0
2016-07-17,-4.891608322759373,0,0
2016-07-18,2.861614933750001,0,0
2016-07-19,6.867617780140625,0,0
2016-07-20,20.230193784495313,0,0
2016-07-21,21.262172167934374,0,0
2016-07-22,-1.3293438856890631,0,0
2016-07-23,-9.029718605237498,0,0
2016-07-24,-5.2700007102593736,2,0
