,vsouza/awesome-ios,raywenderlich/swift-style-guide,matteocrippa/awesome-swift
2016-07-10,0.15809152065937637,0,0
2016-07-11,6.310705325150002,0,4
2016-07-12,-0.1650950732374996,0,0
2016-07-13,0.23332536381562552,0,7
2016-07-14,-0.5982669345499996,0,5
2016-07-15,17.66692653532969,0,22
2016-07-16,-2.038967494925001,0,0
2016-07-17,7.0236269481625,0,14
2016-07-18,0.5620981981984368,0,4
2016-07-19,6.968442247604688,0,4
2016-07-20,4.512444522982813,0,6
2016-07-21,0.5628166094484381,0,0
2016-07-22,8.923655614964064,0,0
2016-07-23,0.26394076571875047,0,0
2016-07-24,-0.226161940646874,0,3
2016-07-25,9.182944503375001,0,0
2016-07-26,3.4050924086812504,0,3
2016-07-27,2.6327770883031256,0,0
2016-07-28,5.75869578411875,0,0
2016-07-29,5.547967521253126,0,0
2016-07-30,-0.5413102402281247,0,0
2016-07-31,-0.023572722640624155,0,0
2016-08-01,3.243282456912501,0,6
2016-08-02,29.056846736057814,0,0
2016-08-03,6.389681287062499,0,0
2016-08-04,0.24916327400781135,0,5
2016-08-05,6.104841762496875,0,0
2016-08-06,3.9456321323890644,0,5
2016-08-07,6.132270472982815,0,0
2016-08-08,1.0216426744484386,0,4
2016-08-09,-1.5557533670984358,0,0
2016-08-10,0.913023199387502,0,0
2016-08-11,3.966273605015627,0,12
2016-08-12,11.938663390593751,0,0
2016-08-13,2.096048410767187,0,0
2016-08-14,15.57833869411875,0,0
