,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2018-02-07,-0.2681018367999997,0,0
2018-02-08,-0.11740805119999996,1,1
2018-02-09,3.952,0,0
2018-02-10,4.1664,0,0
2018-02-11,-1.345536,0,0
2018-02-12,-0.6124288000000004,5,0
2018-02-13,-0.39132672000000024,0,0
2018-02-14,0.715468288,0,2
2018-02-15,0.5781354496,5,0
2018-02-16,1.55014912,6,0
2018-02-17,-0.6701844479999999,0,0
2018-02-18,-0.3634159615999998,4,0
2018-02-19,3.782517248,0,0
2018-02-20,2.0868352000000003,1,0
2018-02-21,-0.008427520000000133,3,1
2018-02-22,-0.7041720320000002,0,1
2018-02-23,-0.41911050240000014,4,1
2018-02-24,-0.29218877439999996,6,0
2018-02-25,-0.21686190080000003,1,0
2018-02-26,-0.15452928000000007,10,0
2018-02-27,-0.1287598079999998,3,0
2018-02-28,1.8900327424000003,8,0
2018-03-01,-0.45179576319999976,10,0
2018-03-02,0.8275306495999999,3,0
2018-03-03,-0.29600000000000004,0,0
2018-03-04,-0.1472000000000001,11,0
2018-03-05,-0.09907200000000006,8,0
2018-03-06,1.9255423999999999,5,2
2018-03-07,1.5406105600000002,2,3
2018-03-08,-0.609204224,0,0
2018-03-09,-0.29786542080000017,0,0
2018-03-10,-0.17758771200000004,0,0
2018-03-11,-0.1307413504,8,0
2018-03-12,-0.09192960000000006,9,1
2018-03-13,-0.07471104000000003,4,2
2018-03-14,4.937371136,5,1
2018-03-15,-1.0537141247999995,0,0
2018-03-16,-0.4249387008000003,10,1
2018-03-17,-0.24000000000000019,11,0
2018-03-18,-0.16800000000000007,5,0
2018-03-19,-0.12768000000000007,2,0
2018-03-20,6.897856,0,0
2018-03-21,-0.4846335999999998,4,1
2018-03-22,-0.8319385600000001,0,1
2018-03-23,0.5216532479999998,6,1
2018-03-24,-0.4832000000000001,0,0
2018-03-25,-0.29235200000000017,0,0
2018-03-26,4.7834623999999994,0,0
2018-03-27,0.82748416,8,1
2018-03-28,8.056823296000001,11,0
2018-03-29,-2.3221019648,0,0
2018-03-30,-1.0133960704000007,10,0
2018-03-31,-0.6412677120000003,13,0
2018-04-01,-0.46808535040000016,3,0
2018-04-02,0.6446847999999998,11,0
2018-04-03,-0.4896511999999998,0,0
2018-04-04,-0.32346265599999985,2,1
2018-04-05,-0.20242810879999942,6,0
2018-04-06,2.8541758464000004,8,0
2018-04-07,-0.6255359999999999,2,0
2018-04-08,-0.26042880000000024,1,0
2018-04-09,-0.1609267200000001,13,0
2018-04-10,-0.11518771199999997,10,0
2018-04-11,-0.0890773504,5,0
2018-04-12,0.9387135999999999,10,0
2018-04-13,0.7492198400000001,1,0
2018-04-14,-0.32316313599999985,7,0
2018-04-15,-0.1654080512,7,0
2018-04-16,-0.08160000000000005,0,0
2018-04-17,3.940864,0,0
2018-04-18,-0.8459647999999999,3,0
2018-04-19,-0.3573555200000003,2,0
2018-04-20,0.7766855679999999,8,0
2018-04-21,-0.3612570623999999,3,0
2018-04-22,0.8053866496,5,0
2018-04-23,0.6702847999999999,4,0
2018-04-24,-0.38130688000000007,8,1
2018-04-25,-0.21108684799999988,3,0
2018-04-26,-0.15190620159999993,3,1
2018-04-27,-0.07606272000000003,15,0
2018-04-28,-0.06035251199999997,6,0
2018-04-29,-0.049824870399999985,5,0
2018-04-30,-0.03131443199999995,5,0
2018-05-01,-0.026857062399999902,6,0
2018-05-02,0.9875306496,8,0
2018-05-03,-0.19999999999999996,2,0
2018-05-04,-0.08000000000000007,3,0
2018-05-05,-0.048000000000000036,2,0
2018-05-06,-0.03360000000000001,5,0
2018-05-07,-0.025536000000000014,4,0
2018-05-08,0.9795712,7,0
2018-05-09,0.78307328,1,0
2018-05-10,-0.29438771199999997,4,0
2018-05-11,-0.14046935040000008,1,0
2018-05-12,0.9184,1,0
2018-05-13,-0.259136,0,0
2018-05-14,-0.1259648000000001,4,0
2018-05-15,-0.08535552000000005,4,0
2018-05-16,1.935085568,6,0
2018-05-17,-0.4523930623999998,6,0
2018-05-18,-0.19289815040000013,5,0
2018-05-19,-0.11292672000000008,0,0
2018-05-20,-0.08158771199999997,9,0
2018-05-21,0.9364586496,0,0
2018-05-22,0.7591424,1,0
2018-05-23,-0.31385344000000004,0,0
2018-05-24,-0.156775424,0,0
2018-05-25,1.8934612992,2,0
2018-05-26,-0.45913599999999993,0,0
2018-05-27,-0.20596480000000017,2,0
2018-05-28,0.8666444799999999,3,0
2018-05-29,0.7014855680000001,1,0
2018-05-30,-0.35792906239999994,3,15
2018-05-31,-0.1813269504000001,4,0
2018-06-01,1.88454656,8,0
2018-06-02,-0.4879114239999998,0,0
2018-06-03,0.7690964991999999,6,0
2018-06-04,4.66664448,4,0
2018-06-05,-1.1785144319999998,0,1
2018-06-06,1.4740709375999996,0,0
2018-06-07,1.2730730495999998,0,0
2018-06-08,3.21261056,0,0
2018-06-09,-1.232884224,0,0
2018-06-10,-0.6272094208000004,1,0
2018-06-11,-0.4092933120000002,0,0
2018-06-12,5.6892624896,2,0
2018-06-13,4.5607982080000005,0,0
2018-06-14,-1.8243440640000002,3,0
