,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2013-09-16,9.73703424,0,10.222453062464064
2013-09-17,19.190370304,0,7.322093925437501
2013-09-18,16.653715660800003,0,7.14077732404375
2013-09-19,15.730744320000003,0,0.02340356580937475
2013-09-20,24.931274342400002,0,-0.3650823510765615
2013-09-21,-29.337138278399998,0,0.9724100346375015
2013-09-22,0.14292121599999774,0,-0.865292294298436
2013-09-23,25.942080307199998,0,10.42943892114219
2013-09-24,-14.772520140799998,0,-0.5334488219218749
2013-09-25,28.1015104512,0,-0.9571112362859369
2013-09-26,-21.562422886399997,0,3.412212605035938
2013-09-27,-9.525032140800002,0,1.2120684798953132
2013-09-28,-2.613894246400001,0,-0.6265001605874996
2013-09-29,-0.8578220032000017,0,-0.3924343660671871
2013-09-30,-1.2403722239999997,0,10.708359623678126
2013-10-01,14.3214311424,0,9.677862860578125
2013-10-02,1.708994457600003,0,8.218162759089061
2013-10-03,14.277557862400002,0,3.1124023374640615
2013-10-04,-8.112579583999997,0,-0.5512481445624999
2013-10-05,-3.9424186368000003,0,-1.0673037861749988
2013-10-06,-3.8725749760000006,0,-0.7329890925718733
2013-10-07,9.691861401599999,0,-0.5597927962499982
2013-10-08,38.5667309568,0,5.539851523078126
2013-10-09,1.3385281536000022,0,4.009497403932813
2013-10-10,3.079011225600004,0,-0.02670100180156254
2013-10-11,12.787185971200003,0,3.3610762133125
2013-10-12,-11.0983474176,0,1.2369624243046875
2013-10-13,-9.476102451200003,0,-0.6169118525359372
2013-10-14,27.8232689664,0,11.615781675000001
2013-10-15,25.209977856000002,0,-1.4881389900000004
2013-10-16,4.5056579584000005,0,3.2281676281562506
2013-10-17,-4.410101759999996,0,10.06379007345625
2013-10-18,10.975897702400001,0,-1.6502113856953122
2013-10-19,-17.6102085632,0,0.12873950290156277
2013-10-20,-5.761054105600002,0,-0.7068261861749994
2013-10-21,6.384272179199999,0,1.5133234399281266
2013-10-22,-5.515503616,0,5.426747943812501
2013-10-23,18.512582041599998,0,3.9993943470687503
2013-10-24,6.335945318400002,0,5.9965793391875
2013-10-25,-9.309578342399998,1,-1.2893338658156255
2013-10-26,-5.144969420799999,0,0.28281042585468796
2013-10-27,-2.709307596800001,0,-0.5354053380156245
2013-10-28,36.459104255999996,0,9.620220429964064
2013-10-29,-6.291581337599997,0,4.70717388396875
2013-10-30,22.6483047424,0,3.707527348084375
2013-10-31,8.092386201600004,0,2.75299269595625
2013-11-01,19.6104588288,0,-0.1247594662890621
2013-11-02,-8.987693875199998,0,3.222471835998438
2013-11-03,-0.9737575424000013,0,-0.9002014380156244
2013-11-04,13.804983091199999,0,-0.5700416400359365
2013-11-05,7.326315315199999,0,7.572815129843751
2013-11-06,22.9298633728,0,9.851718315296875
2013-11-07,21.557632819200002,0,3.3197615222062495
2013-11-08,11.398403993600002,0,5.632990739007812
2013-11-09,-11.768004300799994,0,-1.4913385081593753
2013-11-10,-14.449264537600001,0,-0.8603936045984364
2013-11-11,10.041768345599998,0,1.3810117398562514
2013-11-12,-1.2100859903999996,0,1.3412470425000014
2013-11-13,8.9512164352,0,8.332795524625
2013-11-14,-3.4497042431999994,0,-1.3670448322093751
2013-11-15,5.071310848000001,0,-0.7212098167234371
2013-11-16,-10.715277824,0,2.560969046210938
2013-11-17,-5.527815475200001,0,-0.6033119927515618
