,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2022-07-28,80,47,-0.0747635711999999
2022-07-29,66,35,0.968685568
2022-07-30,20,8,-0.22685706239999986
2022-07-31,3,2,-0.09246935040000004
2022-08-01,40,33,0.952
2022-08-02,76,34,0.7664
2022-08-03,75,51,-0.30553600000000003
2022-08-04,70,43,2.8515712
2022-08-05,61,39,-0.6985267199999999
2022-08-06,11,21,-0.3135237120000002
2022-08-07,7,10,-0.2024341504000001
2022-08-08,63,42,-0.13815552000000003
2022-08-09,69,37,-0.10792243199999998
2022-08-10,73,48,-0.08814346239999993
2022-08-11,67,43,-0.0632495104
2022-08-12,67,34,1.9568368640000002
2022-08-13,1,12,-0.4374080511999998
2022-08-14,8,3,-0.16000000000000014
2022-08-15,53,23,-0.09600000000000007
2022-08-16,86,51,0.9328
2022-08-17,69,45,-0.25107199999999996
2022-08-18,72,44,-0.12085760000000009
2022-08-19,56,51,-0.08185344000000006
2022-08-20,12,9,-0.06237542399999989
2022-08-21,5,7,-0.05047470079999994
2022-08-22,71,42,0.9795712
2022-08-23,74,43,0.78307328
2022-08-24,65,50,-0.29438771199999997
2022-08-25,84,43,-0.14046935040000008
2022-08-26,60,34,0.9184
2022-08-27,30,11,-0.259136
2022-08-28,7,13,-0.1259648000000001
2022-08-29,76,35,0.91464448
2022-08-30,85,41,-0.2649144319999999
2022-08-31,98,34,0.8676069376
2022-09-01,97,48,-0.2808981504
2022-09-02,88,21,-0.1305267200000001
2022-09-03,17,4,-0.08792371199999999
2022-09-04,4,2,-0.06649815039999998
2022-09-05,32,11,-0.04246272000000002
2022-09-06,48,31,-0.03481651199999995
2022-09-07,94,43,-0.029396070399999974
2022-09-08,90,30,0.9856122880000001
2022-09-09,69,47,-0.21246935039999992
2022-09-10,10,13,-0.08000000000000007
2022-09-11,2,1,-0.048000000000000036
2022-09-12,51,32,-0.03360000000000001
2022-09-13,63,39,-0.025536000000000014
2022-09-14,61,34,-0.02042880000000001
2022-09-15,74,33,0.9830732799999999
2022-09-16,74,44,0.785612288
2022-09-17,12,27,-0.2924693504
2022-09-18,5,4,-0.1280000000000001
2022-09-19,63,25,-0.08160000000000005
2022-09-20,65,29,-0.05913600000000002
2022-09-21,78,50,-0.04596480000000003
2022-09-22,81,32,-0.03735552000000002
2022-09-23,70,50,-0.03131443199999995
2022-09-24,14,15,-0.026857062399999902
2022-09-25,4,8,-0.012469350399999964
2022-09-26,57,22,1.0
2022-09-27,84,52,-0.19999999999999996
2022-09-28,65,68,-0.08000000000000007
2022-09-29,95,50,-0.048000000000000036
2022-09-30,85,61,-0.03360000000000001
2022-10-01,16,11,-0.025536000000000014
2022-10-02,11,17,-0.02042880000000001
2022-10-03,57,56,-0.01692672000000001
2022-10-04,82,21,-0.01438771199999994
2022-10-05,84,36,-0.012469350399999964
2022-10-06,90,46,0.0
2022-10-07,61,51,0.0
2022-10-08,10,12,0.0
2022-10-09,8,10,0.0
2022-10-10,42,29,0.0
2022-10-11,64,49,0.0
2022-10-12,73,36,0.0
2022-10-13,75,58,0.0
2022-10-14,73,38,0.0
2022-10-15,20,16,0.0
2022-10-16,5,10,0.0
2022-10-17,60,42,0.0
2022-10-18,70,52,0.0
2022-10-19,106,44,0.0
2022-10-20,96,41,0.0
2022-10-21,92,49,0.0
2022-10-22,19,10,0.0
2022-10-23,9,8,0.0
2022-10-24,68,43,0.0
