,rails/rails,sinatra/sinatra,django/django
2018-02-17,25,0,0.0
2018-02-18,21,0,0.0
2018-02-19,14,5,2.0
2018-02-20,6,8,2.0
2018-02-21,10,8,9.0
2018-02-22,14,7,1.0
2018-02-23,14,1,5.0
2018-02-24,10,0,2.0
2018-02-25,8,0,1.0
2018-02-26,13,2,5.0
2018-02-27,21,0,1.0
2018-02-28,17,2,4.0
2018-03-01,7,1,7.0
2018-03-02,2,0,3.0
2018-03-03,7,0,4.0
2018-03-04,15,0,1.0
2018-03-05,17,0,2.0
2018-03-06,14,1,6.0
2018-03-07,4,0,3.0
2018-03-08,6,0,4.0
2018-03-09,11,0,2.0
2018-03-10,1,0,1.0
2018-03-11,6,0,0.0
2018-03-12,10,0,8.0
2018-03-13,16,0,6.0
2018-03-14,6,0,3.0
2018-03-15,8,0,5.0
2018-03-16,7,0,4.0
2018-03-17,2,0,3.0
2018-03-18,5,1,1.0
2018-03-19,12,1,2.0
2018-03-20,9,1,6.0
2018-03-21,18,0,7.0
