,d3/d3,plotly/plotly.js,highcharts/highcharts
2014-01-23,0,-1.1207138303999962,1
2014-01-24,0,-3.033068543999999,1
2014-01-25,0,1.9474780160000016,0
2014-01-26,0,-2.0087434240000004,0
2014-01-27,0,-1.2059935744000008,5
2014-01-28,0,1.7306491903999994,8
2014-01-29,0,2.317799321600001,11
2014-01-30,0,5.0777742336000005,6
2014-01-31,0,4.818768691200002,3
2014-02-01,0,-5.694864691199999,0
2014-02-02,0,3.0345542655999997,0
2014-02-03,1,-1.97672704,5
2014-02-04,0,15.5384609792,3
2014-02-05,0,2.5797355520000025,7
2014-02-06,0,6.688428646400002,4
2014-02-07,0,2.474064793600002,8
2014-02-08,0,-3.7683877887999984,0
2014-02-09,0,-0.8496608256000009,0
2014-02-10,0,-3.9745227776000007,10
2014-02-11,1,-1.0281332736000004,12
2014-02-12,1,3.3013282816,4
2014-02-13,0,1.9620896768000007,4
2014-02-14,0,9.8444637184,1
2014-02-15,0,-5.397661695999998,0
2014-02-16,0,-3.5176764416,0
2014-02-17,0,2.230621696,5
2014-02-18,4,-2.7437788160000003,3
2014-02-19,0,1.7263598591999996,4
2014-02-20,0,5.9358572544,5
2014-02-21,0,9.8027625472,15
2014-02-22,0,-6.1975180287999985,2
2014-02-23,0,1.9818615808,1
2014-02-24,0,8.4622654464,6
2014-02-25,0,5.584471552,8
2014-02-26,0,3.6890620928000004,1
2014-02-27,2,1.6401315840000015,9
2014-02-28,0,4.2232487936,14
2014-03-01,0,-2.4903757823999992,0
2014-03-02,0,-4.2747651072,0
2014-03-03,0,12.0075461632,5
2014-03-04,0,-3.8860692479999983,10
2014-03-05,0,-1.7456633856000003,5
2014-03-06,0,5.430419046400001,11
2014-03-07,0,-3.4640252927999997,1
2014-03-08,0,-1.0843922432,1
2014-03-09,1,2.5600151552,7
2014-03-10,0,5.721186304,13
2014-03-11,0,-5.0632736768,8
2014-03-12,0,6.94252032,8
2014-03-13,2,1.2481747968000008,8
2014-03-14,0,2.7383766016000006,7
2014-03-15,0,-4.662619955199999,0
2014-03-16,0,-1.9528293376000003,1
2014-03-17,2,0.7661220863999998,11
2014-03-18,0,-1.6779729920000004,7
2014-03-19,0,-0.8679616512000001,2
2014-03-20,2,0.46463283200000005,4
2014-03-21,1,0.1820883968,0
2014-03-22,2,6.2372170752,3
2014-03-23,0,-2.1195134975999994,0
2014-03-24,23,-1.38234112,8
2014-03-25,1,-0.6698634240000001,5
2014-03-26,0,-0.4337115136000004,5
2014-03-27,0,0.7074022399999998,6
2014-03-28,0,2.375779328,9
2014-03-29,0,0.5004890112000002,0
2014-03-30,0,-1.3612587007999997,0
2014-03-31,0,1.4216571904,0
2014-04-01,0,-0.0955501567999999,5
2014-04-02,0,1.1639808,4
2014-04-03,0,1.8048358400000002,14
2014-04-04,1,2.296606208,2
2014-04-05,0,-2.2845104127999996,0
2014-04-06,4,1.1002157056,3
2014-04-07,0,0.6739953664,16
2014-04-08,3,-0.3908643839999999,10
2014-04-09,0,-1.0341907456,7
2014-04-10,2,15.4787259392,5
2014-04-11,1,-1.751649689599999,15
2014-04-12,0,9.8335522816,4
2014-04-13,0,-5.387812147199998,2
2014-04-14,4,2.4443842559999993,9
2014-04-15,0,-3.2975102975999997,3
2014-04-16,0,-0.38832322560000065,1
2014-04-17,0,5.771928883199999,0
2014-04-18,0,18.530667008,0
2014-04-19,0,-0.09297530879999805,0
2014-04-20,0,-8.235843071999998,0
2014-04-21,0,12.472623820799999,0
2014-04-22,1,-0.48124354559999993,16
2014-04-23,0,15.4211126272,12
2014-04-24,0,4.168300339200002,13
2014-04-25,0,3.9604399104000017,6
2014-04-26,0,-4.793074790399999,0
2014-04-27,0,-5.207297638400001,0
2014-04-28,0,14.5770417152,11
2014-04-29,0,-1.2218782719999979,4
2014-04-30,0,8.1955402752,19
2014-05-01,0,11.966900121600002,0
2014-05-02,0,0.9163075584000016,2
2014-05-03,0,-10.795743948799998,1
2014-05-04,0,-1.7791165440000007,0
2014-05-05,0,8.8467581952,3
2014-05-06,0,-1.6476450816000003,11
2014-05-07,0,11.2499862528,10
2014-05-08,0,9.4398880768,11
2014-05-09,0,3.549959987200001,5
2014-05-10,1,-2.569605017599999,0
2014-05-11,0,-7.6357194752,0
2014-05-12,0,4.358352383999999,12
2014-05-13,1,11.3588955136,8
2014-05-14,0,16.4520093696,15
2014-05-15,0,-3.2195406847999983,9
2014-05-16,0,-0.9055911935999994,4
2014-05-17,0,-0.14828113919999986,1
2014-05-18,5,-7.071707648000001,0
2014-05-19,8,-3.4120761344000012,10
2014-05-20,0,8.753539583999999,4
2014-05-21,0,-0.0926301183999989,4
2014-05-22,1,3.020021862400001,2
2014-05-23,1,7.527494451200001,1
2014-05-24,0,-0.4257456128000001,0
2014-05-25,0,-5.687501107199999,0
2014-05-26,0,2.4605075455999996,3
2014-05-27,0,3.4317286399999998,5
2014-05-28,1,7.458782208000001,5
2014-05-29,0,-0.8468640767999993,3
2014-05-30,1,0.9064056832000009,6
2014-05-31,0,-2.7569634304,0
2014-06-01,0,-3.0001460224,0
2014-06-02,0,1.4247937023999995,5
