,elastic/kibana,grafana/grafana,getsentry/sentry
2022-10-14,32,27,24.5596699648
2022-10-15,1,3,-34.7646449664
2022-10-16,1,2,-15.794647961600006
2022-10-17,35,31,51.577681203199994
2022-10-18,38,32,39.908232192
2022-10-19,48,42,21.148841676800004
2022-10-20,51,34,0.08448122880000142
2022-10-21,5,25,14.410994688000002
2022-10-22,1,3,-32.4499485696
2022-10-23,1,0,-16.063151718400004
2022-10-24,30,26,43.3487883264
2022-10-25,43,31,47.794641408000004
2022-10-26,34,26,-1.2181050367999902
2022-10-27,40,31,37.324346163200005
2022-10-28,32,25,-6.331383193599997
2022-10-29,3,0,-30.461995724800005
2022-10-30,3,0,-15.043624550400006
2022-10-31,38,27,36.691528806399994
2022-11-01,39,24,33.800853504
2022-11-02,55,32,28.569374617600005
2022-11-03,44,41,15.039389491200005
2022-11-04,36,28,-0.11952762880000023
2022-11-05,3,2,-28.604039168
2022-11-06,1,1,-13.616164556800005
2022-11-07,50,32,40.64595128319999
2022-11-08,57,40,18.367684608
2022-11-09,49,25,9.864315699200002
2022-11-10,42,26,7.1469462528000065
2022-11-11,5,21,2.9797185536000015
2022-11-12,2,2,-21.9771661312
2022-11-13,1,1,-10.760613785600004
2022-11-14,60,16,30.407247974399997
2022-11-15,54,17,52.3884562432
2022-11-16,64,30,16.007713280000004
2022-11-17,49,14,7.286155776000001
2022-11-18,42,26,5.107512524800001
2022-11-19,2,0,-24.841245696
2022-11-20,1,0,-13.805284659200003
2022-11-21,44,25,25.655484723199997
2022-11-22,41,38,22.351924736
2022-11-23,46,45,16.4140908544
2022-11-24,36,29,-9.428814745599997
2022-11-25,4,2,-10.3874719744
2022-11-26,1,0,-11.951807897600002
2022-11-27,1,0,-6.404133580800003
2022-11-28,48,32,27.8537680896
2022-11-29,60,30,32.076751872
2022-11-30,39,47,3.4638056448000043
2022-12-01,22,32,11.903561830400001
2022-12-02,33,27,-3.0404898815999992
2022-12-03,2,0,-12.7228765184
2022-12-04,2,1,-9.473303654400002
2022-12-05,33,16,31.37250048
2022-12-06,39,17,20.132481536
2022-12-07,33,26,21.796964966400004
2022-12-08,23,24,-3.264164454399996
2022-12-09,4,21,23.6526215168
2022-12-10,1,1,-25.874403942399997
2022-12-11,3,1,-11.409554227200003
2022-12-12,41,31,8.091291852799998
2022-12-13,23,32,17.076194816
2022-12-14,43,41,17.1981154304
2022-12-15,45,34,17.417638604800004
2022-12-16,35,15,7.533078016000005
2022-12-17,2,0,-17.7424576512
2022-12-18,1,0,-10.927778611200003
2022-12-19,37,34,17.005505843199998
