,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2022-06-23,2.8817409024000007,0,0
2022-06-24,4.1528551424,0,0
2022-06-25,-1.8741104639999993,0,0
2022-06-26,-2.250654208,0,0
2022-06-27,1.9356324863999996,0,0
2022-06-28,0.1208166399999997,0,0
2022-06-29,-0.656317952,0,0
2022-06-30,-1.2179202048,0,0
2022-07-01,4.3257084928,0,0
2022-07-02,-2.4438778879999994,0,0
2022-07-03,0.10970787839999996,0,0
2022-07-04,1.1234136064000002,0,0
2022-07-05,-1.233171456,0,0
2022-07-06,5.4591635456,0,0
2022-07-07,0.2748319744000005,0,0
2022-07-08,3.8621970432,0,0
2022-07-09,-1.3026457599999994,0,0
2022-07-10,-2.0898877440000003,0,0
2022-07-11,5.019591168,0,0
2022-07-12,-0.04834478079999993,0,0
2022-07-13,-0.38762127359999976,0,0
2022-07-14,6.112270848,0,0
2022-07-15,-2.1600058368,0,0
2022-07-16,-2.3585818624,0,0
2022-07-17,0.8300644351999997,0,0
2022-07-18,-0.5254132736000003,2,0
2022-07-19,-0.15478835200000018,4,0
2022-07-20,1.9493932032,0,0
2022-07-21,-1.7287967743999997,0,0
2022-07-22,-0.7090871296,0,0
2022-07-23,0.5578249216,0,0
2022-07-24,-0.6400526336000001,0,0
2022-07-25,1.7184988159999999,0,0
2022-07-26,-0.9920121855999998,0,0
2022-07-27,-0.3646655488,0,0
2022-07-28,0.7837827072,0,0
2022-07-29,-0.5445576704,0,0
2022-07-30,-0.19827456000000002,0,0
2022-07-31,0.8749178879999999,0,0
2022-08-01,10.5088607232,1,0
2022-08-02,-1.5802634239999982,0,1
2022-08-03,-1.6325595135999995,1,1
2022-08-04,-1.52397056,0,0
2022-08-05,0.18529228799999953,0,0
2022-08-06,0.04596664319999966,2,0
2022-08-07,0.07757824000000002,8,0
2022-08-08,2.099926528,6,0
2022-08-09,2.3168141312,1,0
2022-08-10,-2.3001694207999996,1,0
2022-08-11,1.1799346175999998,0,0
2022-08-12,1.7351160831999999,0,0
2022-08-13,-1.752745472,4,0
2022-08-14,-0.7230220288,3,0
2022-08-15,-0.4501183488000001,8,0
2022-08-16,1.6835484671999998,0,0
2022-08-17,0.9652002816,3,0
2022-08-18,2.8031766528000004,0,0
2022-08-19,-1.0534231039999997,1,0
2022-08-20,-1.1622634496,2,0
2022-08-21,-0.5574984704000001,7,0
2022-08-22,-0.3362304000000002,2,0
2022-08-23,-0.24407552000000013,13,0
2022-08-24,1.811142656,1,0
2022-08-25,1.0476468224000002,0,0
2022-08-26,-0.14458972159999983,0,0
2022-08-27,-0.8343483392,0,0
2022-08-28,-0.3439981568000001,0,0
2022-08-29,-0.20710400000000012,0,0
2022-08-30,0.8525695999999999,0,1
2022-08-31,3.48738048,0,0
2022-09-01,-0.8100157439999995,2,0
2022-09-02,2.9817217024000002,6,0
2022-09-03,-1.0583520255999996,3,0
2022-09-04,-0.15315015680000021,2,0
2022-09-05,-0.9603712,4,0
2022-09-06,-0.4905753600000002,0,0
2022-09-07,5.662990848,3,0
2022-09-08,3.3448036352000003,0,0
2022-09-09,-3.3127457791999992,4,0
2022-09-10,-1.2187547648,1,0
2022-09-11,0.28168110079999975,2,0
2022-09-12,0.14273413119999967,1,0
2022-09-13,-0.8502893568000001,0,0
2022-09-14,-0.43200256000000004,4,0
2022-09-15,-0.30675763199999995,0,0
2022-09-16,-0.2392752128,0,0
2022-09-17,-0.1297041408,1,2
2022-09-18,-0.04133376,4,0
2022-09-19,1.966473728,9,0
2022-09-20,-0.8279538687999998,0,1
2022-09-21,-0.2527981568,0,0
2022-09-22,0.872,1,0
2022-09-23,-0.4832,0,0
2022-09-24,-0.17990400000000004,2,0
2022-09-25,-0.10992640000000001,15,0
2022-09-26,-0.07834112000000004,4,0
2022-09-27,-0.060263424,2,0
2022-09-28,3.9514404864,0,0
2022-09-29,0.38162944000000043,0,0
2022-09-30,-1.2951557119999997,0,0
2022-10-01,-0.5087981568,0,0
2022-10-02,1.7055999999999998,3,0
2022-10-03,-1.003008,1,0
2022-10-04,-0.3917568,0,0
2022-10-05,2.75259136,0,0
2022-10-06,0.6194360320000003,1,0
2022-10-07,-0.3014080511999997,2,0
2022-10-08,-0.9035227135999999,8,0
2022-10-09,-0.4095411200000001,0,0
2022-10-10,-0.26736742400000013,0,0
2022-10-11,-0.1959899136000001,0,0
2022-10-12,2.86900992,2,0
2022-10-13,1.6948285440000004,3,0
2022-10-14,0.3529235456000004,0,0
2022-10-15,-1.3927520255999997,2,0
2022-10-16,-0.5695981568000001,1,0
2022-10-17,-0.3426560000000002,0,0
2022-10-18,-0.24194560000000015,0,0
2022-10-19,2.81609472,0,0
2022-10-20,0.6534947840000003,0,0
2022-10-21,-0.2806027263999997,2,0
2022-10-22,-0.9007058943999999,0,0
2022-10-23,-0.39839631360000016,1,0
