,rust-lang/rust,JetBrains/kotlin,apple/swift
2012-04-12,12,16,-5.724863488000002
2012-04-13,15,63,7.7444430848
2012-04-14,10,7,-10.2573120512
2012-04-15,17,3,-6.5170066432
2012-04-16,9,14,1.2213626879999997
2012-04-17,10,15,3.8216910847999994
2012-04-18,12,13,14.4454177792
2012-04-19,20,59,14.265899212799997
2012-04-20,44,37,-2.0755235840000026
2012-04-21,9,3,-9.739040768000002
2012-04-22,3,3,-8.2538034176
2012-04-23,19,10,12.8220403712
2012-04-24,9,19,18.490383872
2012-04-25,16,21,-1.2393781248000018
2012-04-26,12,10,-8.443886489600004
2012-04-27,21,22,-3.691331379200001
2012-04-28,7,20,-6.1562759168
2012-04-29,0,5,-5.2655735808
2012-04-30,4,23,5.5671934976
2012-05-01,11,20,0.5978841087999989
2012-05-02,10,20,8.652343705599998
2012-05-03,33,38,-0.10055147520000318
2012-05-04,8,44,5.503583948799999
2012-05-05,2,13,1.215496191999998
2012-05-06,1,6,-10.113015193599999
2012-05-07,10,15,0.041483878399999785
2012-05-08,5,7,7.572143104
2012-05-09,2,2,-1.0341078016000012
2012-05-10,6,12,4.597248409599999
2012-05-11,5,33,3.3577779199999984
2012-05-12,1,14,-4.616005939200001
2012-05-13,1,1,-4.716877824000001
2012-05-14,7,1,9.392384614400001
2012-05-15,20,21,7.574013644799999
2012-05-16,30,11,-2.833182412800001
2012-05-17,16,2,5.470041497599999
2012-05-18,20,18,-1.095158681600001
2012-05-19,25,2,-7.1757364224
2012-05-20,2,0,-5.100653465600001
2012-05-21,5,16,9.7669577728
2012-05-22,42,28,9.380966809599999
2012-05-23,61,25,4.740976742399999
2012-05-24,23,17,-4.3266714624
2012-05-25,24,21,6.996228607999999
2012-05-26,12,3,-6.567027200000002
2012-05-27,4,1,-5.1416701952000015
2012-05-28,5,36,11.1785309184
2012-05-29,18,19,-4.810015744000001
2012-05-30,22,32,13.4000229376
2012-05-31,46,42,1.6500076543999977
2012-06-01,18,42,-9.3116036096
2012-06-02,28,10,2.781681663999999
2012-06-03,19,0,-4.941313126400001
2012-06-04,15,24,9.6543630336
2012-06-05,22,45,0.7702948863999985
2012-06-06,29,14,-9.438928179200001
2012-06-07,59,33,6.1769496576
2012-06-08,23,41,-0.9739005952000008
2012-06-09,28,63,-3.5944321024000008
2012-06-10,7,0,-2.9567196160000004
2012-06-11,7,0,-1.23217408
2012-06-12,10,6,-1.7126540288000003
2012-06-13,30,37,-0.8688286720000001
2012-06-14,22,36,-0.5170499584000002
2012-06-15,46,55,-0.30909726720000014
2012-06-16,15,57,-0.2357826560000002
2012-06-17,2,7,3.8797838336
2012-06-18,10,17,6.5512280064
2012-06-19,17,28,2.1011575808
2012-06-20,16,22,2.887497932799999
2012-06-21,55,9,-1.9984000000000002
2012-06-22,19,16,0.07820800000000006
2012-06-23,5,3,-2.6454528
2012-06-24,4,0,-2.76768256
2012-06-25,25,20,16.814636032
2012-06-26,33,48,-8.575511756800001
2012-06-27,14,7,0.49921361919999896
2012-06-28,25,27,-1.723178905600001
2012-06-29,53,7,0.6008420352000003
2012-06-30,16,1,-3.6721269760000004
2012-07-01,3,0,-1.24932864
2012-07-02,22,16,6.2610323456
2012-07-03,31,46,5.288377343999999
2012-07-04,25,23,-5.230343065600001
2012-07-05,24,29,1.0249949184
2012-07-06,51,5,0.4395668479999997
2012-07-07,17,35,0.44519639040000003
2012-07-08,28,0,-3.5509746688000003
2012-07-09,37,31,4.857873919999999
2012-07-10,52,35,6.715060736
2012-07-11,42,25,-3.801581670400001
2012-07-12,22,4,-1.3718159360000008
2012-07-13,44,10,-2.2746881024
2012-07-14,34,4,1.1822405632000001
