,highcharts/highcharts,plotly/plotly.js,d3/d3
2013-12-04,5,-0.714165918926561,4
2013-12-05,5,2.147134562073439,2
2013-12-06,1,3.3254015013406275,0
2013-12-07,1,2.5534927744906266,0
2013-12-08,0,3.7228814975390634,0
2013-12-09,10,8.68091845088125,0
2013-12-10,2,9.153541157298438,0
2013-12-11,4,13.8176778606,0
2013-12-12,5,3.2641070587171868,1
2013-12-13,5,11.916103761615625,3
2013-12-14,0,0.293923177278125,3
2013-12-15,0,2.1237596290078145,0
2013-12-16,11,6.3470009247781265,4
2013-12-17,2,-0.9217757515859357,0
2013-12-18,2,1.6926668164687517,0
2013-12-19,3,11.799689011354689,0
2013-12-20,3,4.920143696331251,0
2013-12-21,0,-0.7903751361843749,0
2013-12-22,0,-1.1595640095499995,0
2013-12-23,0,0.2731558578296889,0
2013-12-24,0,2.356623101981252,0
2013-12-25,0,-0.7596261345531241,0
2013-12-26,0,-0.4530726803328118,0
2013-12-27,0,4.653434986939063,0
2013-12-28,0,-0.7653612203265623,0
2013-12-29,0,6.645127456732813,0
2013-12-30,0,13.098521413714062,0
2013-12-31,0,5.138838098234374,0
2014-01-01,0,-1.6471875415828134,0
2014-01-02,7,13.050355879892187,0
2014-01-03,4,3.94293926875,0
2014-01-04,0,12.259752347421875,0
2014-01-05,0,-2.485735561429688,0
2014-01-06,0,5.595300973890627,0
2014-01-07,4,5.280986276279688,0
2014-01-08,12,2.2301941983875015,11
2014-01-09,7,5.566789709748439,12
2014-01-10,8,3.3910757652812507,7
2014-01-11,0,-1.516760311096874,0
2014-01-12,2,-0.8964508349343739,0
2014-01-13,12,-0.6389783967531235,1
2014-01-14,5,2.5865881351406266,2
2014-01-15,17,4.357137218639063,2
2014-01-16,6,4.124468843935937,1
2014-01-17,5,9.033457917496875,0
2014-01-18,0,1.4638789671703119,0
2014-01-19,0,0.9138429873203124,0
2014-01-20,5,17.1566177125,0
2014-01-21,1,5.63820009875,2
2014-01-22,1,28.959861517203123,0
2014-01-23,1,9.677198021064061,0
2014-01-24,1,4.332582672242188,0
2014-01-25,0,7.033815993414063,0
2014-01-26,0,3.0997314180937527,0
2014-01-27,5,2.58378993386094,0
2014-01-28,8,4.868266203146877,0
2014-01-29,11,5.812542391478128,0
2014-01-30,6,8.832941128728127,0
2014-01-31,3,9.525796494167189,0
2014-02-01,0,-0.5322607271281248,0
2014-02-02,0,5.373136559556251,0
2014-02-03,5,1.222777527796876,1
2014-02-04,3,17.621579095956253,0
2014-02-05,7,9.188269838710937,0
2014-02-06,4,12.267315719373437,0
2014-02-07,8,8.911804606540624,0
2014-02-08,0,2.020533635917188,0
2014-02-09,0,2.7412669822875015,0
2014-02-10,10,-0.9374737224312479,0
