,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2020-04-25,3.823890466660939,1,0
2020-04-26,8.786701754859376,0,0
2020-04-27,5.2849876136,1,0
2020-04-28,8.319039287679688,0,1
2020-04-29,7.004201291801563,0,0
2020-04-30,6.977560054634376,1,0
2020-05-01,8.935930030257813,0,0
2020-05-02,5.679237107575,0,0
2020-05-03,5.833659679850001,0,0
2020-05-04,4.8485333584140635,0,0
2020-05-05,7.959299958531251,13,0
2020-05-06,1.7416392733421882,1,0
2020-05-07,7.241537253750002,14,0
2020-05-08,5.972397251285939,9,0
2020-05-09,2.9866709640046887,3,0
2020-05-10,-0.7101350395203117,0,0
2020-05-11,6.843557176837502,3,0
2020-05-12,8.404395226103127,1,1
2020-05-13,1.0619455045921882,0,0
2020-05-14,5.593352606328126,0,1
2020-05-15,1.4243133902156253,1,0
2020-05-16,2.7431743293015636,0,0
2020-05-17,6.810922818384376,0,0
2020-05-18,8.469579979304688,1,0
2020-05-19,2.1158268933390625,3,0
2020-05-20,8.50271062330625,0,0
2020-05-21,5.075397624343751,0,0
2020-05-22,2.222337112532813,0,0
2020-05-23,2.5190147082015635,0,0
2020-05-24,-0.33443150467031124,1,0
2020-05-25,4.026468073231252,0,0
2020-05-26,8.806663889556251,0,0
2020-05-27,14.274050172578125,1,0
2020-05-28,6.462788035949999,0,1
2020-05-29,9.727581198531249,0,0
2020-05-30,2.4971892326859373,0,1
2020-05-31,-1.937039920956249,0,0
2020-06-01,3.758917170590627,3,0
2020-06-02,16.58672966988594,0,0
2020-06-03,7.244651854664063,0,0
2020-06-04,6.472047300140625,1,1
2020-06-05,9.614256624784375,0,0
2020-06-06,4.4116133397390636,0,0
2020-06-07,1.792335641990626,0,0
2020-06-08,2.261491031070314,1,0
2020-06-09,19.44835102742188,1,0
2020-06-10,4.824342528039063,2,0
2020-06-11,13.440882857946875,0,1
2020-06-12,3.8990212149999994,0,0
2020-06-13,0.5329071472390638,0,0
2020-06-14,-0.8395390065406234,0,0
2020-06-15,5.68812373268594,0,0
2020-06-16,11.356862116543752,0,0
2020-06-17,5.647823496528126,2,0
2020-06-18,7.823931615120313,0,0
2020-06-19,6.7713200102125,0,0
2020-06-20,-0.20723268293437425,1,1
2020-06-21,6.544457559451564,0,0
2020-06-22,8.234414093126563,0,0
2020-06-23,11.910978805104689,0,0
2020-06-24,7.332074518045312,0,0
2020-06-25,9.472339837907812,1,0
2020-06-26,6.32639975830625,0,0
2020-06-27,1.5269706650000012,0,0
2020-06-28,4.105644506145314,0,0
2020-06-29,6.165833153303127,2,0
2020-06-30,8.98683067705625,1,1
2020-07-01,5.654473229921876,0,2
2020-07-02,10.823708466840625,1,0
2020-07-03,2.413199902203125,7,0
2020-07-04,0.02053059242812605,0,0
2020-07-05,1.576194547614064,0,0
2020-07-06,5.7454165042625025,1,0
2020-07-07,7.440903371909377,1,0
2020-07-08,5.1452932540406255,8,0
2020-07-09,15.222317004229687,0,1
2020-07-10,8.262140854259375,1,0
2020-07-11,0.41802017195468766,0,0
2020-07-12,2.244265685039063,0,0
2020-07-13,8.445803619631251,0,0
2020-07-14,16.949075647532815,0,0
2020-07-15,4.850411378857812,0,0
2020-07-16,13.453056912317187,3,0
2020-07-17,13.844438014732813,1,0
2020-07-18,2.464283924967188,0,0
2020-07-19,-0.5896054769421868,0,0
2020-07-20,15.16148099032969,1,0
2020-07-21,5.984514630950002,1,0
2020-07-22,7.314912007343752,0,0
2020-07-23,7.335096445192188,0,1
2020-07-24,19.422155260212502,0,0
2020-07-25,2.2151235856593754,1,0
2020-07-26,1.3271922737953137,0,0
2020-07-27,13.958626810003127,0,0
2020-07-28,12.022335082412502,0,0
2020-07-29,11.716004102248439,1,0
2020-07-30,11.617875459520313,1,0
2020-07-31,7.499727951984376,1,0
2020-08-01,-0.1840071392031235,0,0
2020-08-02,-0.2713403688843723,0,0
2020-08-03,8.336215555221878,2,0
2020-08-04,12.804937200356253,0,1
2020-08-05,8.111986282940626,1,1
