,lvgl/lvgl,Immediate-Mode-UI/Nuklear,ocornut/imgui
2017-07-27,11.60517598146875,0,1.3338823680000003
2017-07-28,7.555903168896874,0,-4.8691729407999995
2017-07-29,-1.6047269550718757,0,6.9117722623999995
2017-07-30,21.1385917375,0,9.139482112
2017-07-31,-1.797470508750001,0,2.409983692800001
2017-08-01,-1.5475623067656243,0,-6.861978214399999
2017-08-02,1.9576709861359383,0,-2.866744832
2017-08-03,-1.0862200431953102,0,-0.8152286208000006
2017-08-04,9.266707125026564,0,-1.7016646656000005
2017-08-05,-1.5780820725718745,0,2.0040730624
2017-08-06,-0.8448005028234367,0,0.11277875200000032
2017-08-07,1.4450531674062506,0,6.2873310208
2017-08-08,2.3595458936937512,0,9.007316684800001
2017-08-09,-0.5928474412859372,0,-2.5637447679999994
2017-08-10,-0.3523250640468747,0,-2.8634265599999997
2017-08-11,3.737041479892188,4,8.811250688
2017-08-12,4.41009586984375,4,-4.6702522368
2017-08-13,1.161337199640625,1,-2.605689856
2017-08-14,2.3993265699999995,0,15.5004000256
2017-08-15,-0.66756771478125,2,2.170935910400001
2017-08-16,10.594717855881251,0,6.193073049600001
2017-08-17,10.614746642392188,1,1.9840833536000009
2017-08-18,2.1005941524999994,0,-7.1985876992
2017-08-19,-1.4219160083125004,4,-3.1550655488000006
2017-08-20,3.1076020947781258,1,22.9733701632
2017-08-21,2.9663537725390636,1,-10.3601056768
2017-08-22,2.9536642183812507,0,17.560605696
2017-08-23,9.936361633642187,0,-11.357575065599997
2017-08-24,5.232326151828125,0,-0.252711424000001
2017-08-25,-1.7076989190828125,0,-0.1163331583999998
2017-08-26,-0.9673245324937494,0,2.2727864319999993
2017-08-27,-0.6218727451437487,2,-4.2771712
2017-08-28,-0.45721783706249847,0,3.95514624
2017-08-29,0.6261571652937511,0,18.190530048
2017-08-30,-0.3860334084562493,0,-10.327484620799996
2017-08-31,-0.26150272706562444,0,-3.6506064895999994
2017-09-01,-0.18786556900468712,2,11.070515711999999
2017-09-02,-0.07945446775156227,0,-6.5169508352
2017-09-03,4.98388325,0,-2.4988500992000002
2017-09-04,-0.5131620125000004,3,3.4757972992
2017-09-05,-0.23609369625000015,0,-1.0358865919999998
2017-09-06,-0.15206831301562507,0,7.8004093952
2017-09-07,-0.11171135253593709,0,-5.140081049599999
