,gcc-mirror/gcc,golang/go,llvm/llvm-project
2022-12-24,5,0,21
2022-12-25,3,0,22
2022-12-26,3,0,38
2022-12-27,16,1,47
2022-12-28,6,1,48
2022-12-29,18,2,47
2022-12-30,5,0,37
2022-12-31,4,0,15
2023-01-01,4,0,14
2023-01-02,11,0,35
2023-01-03,28,3,138
2023-01-04,16,4,121
2023-01-05,38,2,125
2023-01-06,15,3,139
2023-01-07,5,0,29
2023-01-08,2,0,44
2023-01-09,16,7,132
2023-01-10,20,3,156
2023-01-11,17,3,176
2023-01-12,17,0,182
2023-01-13,29,3,164
2023-01-14,13,0,56
2023-01-15,10,0,35
2023-01-16,38,1,97
2023-01-17,12,42,128
2023-01-18,18,7,133
2023-01-19,16,19,149
2023-01-20,6,38,179
2023-01-21,4,3,52
2023-01-22,5,0,70
2023-01-23,35,12,159
2023-01-24,23,20,158
2023-01-25,35,16,168
2023-01-26,47,22,110
2023-01-27,42,14,108
2023-01-28,19,6,60
2023-01-29,4,1,52
2023-01-30,35,25,115
2023-01-31,90,31,134
2023-02-01,28,14,114
2023-02-02,28,17,121
2023-02-03,31,7,126
2023-02-04,4,9,63
2023-02-05,3,0,33
2023-02-06,18,15,125
2023-02-07,11,8,155
2023-02-08,14,10,114
2023-02-09,14,13,116
2023-02-10,49,20,150
2023-02-11,7,2,51
2023-02-12,137,0,43
2023-02-13,19,8,139
2023-02-14,15,8,139
2023-02-15,80,7,164
2023-02-16,32,8,109
2023-02-17,21,10,133
2023-02-18,11,1,52
2023-02-19,2,1,25
2023-02-20,13,1,79
2023-02-21,119,8,97
2023-02-22,23,14,115
2023-02-23,22,18,116
2023-02-24,27,12,95
2023-02-25,9,3,33
2023-02-26,3,0,35
2023-02-27,11,34,101
2023-02-28,18,26,121
2023-03-01,20,23,127
2023-03-02,28,10,136
2023-03-03,39,5,92
2023-03-04,13,1,25
2023-03-05,17,0,24
2023-03-06,11,13,120
2023-03-07,27,12,133
2023-03-08,11,5,129
2023-03-09,20,13,127
2023-03-10,36,25,129
2023-03-11,6,1,45
2023-03-12,14,0,37
2023-03-13,27,16,138
2023-03-14,28,11,179
2023-03-15,25,24,142
2023-03-16,22,17,124
2023-03-17,20,12,139
2023-03-18,5,4,31
2023-03-19,7,0,34
2023-03-20,12,8,119
2023-03-21,25,20,139
2023-03-22,23,21,112
2023-03-23,24,5,139
2023-03-24,19,20,118
2023-03-25,3,2,31
2023-03-26,5,0,25
2023-03-27,13,12,133
