,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2021-11-22,36.55764022268282,2,16
2021-11-23,41.14077099960001,0,3
2021-11-24,30.483226716498443,0,4
2021-11-25,18.732786655548438,2,9
2021-11-26,27.975174851318755,0,22
2021-11-27,-7.285054320357807,0,13
2021-11-28,2.1984970244468824,0,3
2021-11-29,62.38108276078282,0,2
2021-11-30,22.06974729250469,0,9
2021-12-01,51.24324903142344,0,12
2021-12-02,15.832011385812496,1,4
2021-12-03,0.11605368232344127,4,2
2021-12-04,-6.291100047620308,0,9
2021-12-05,-4.2304845773609285,0,2
2021-12-06,39.96080124205314,0,9
2021-12-07,62.225898427665626,0,23
2021-12-08,65.13004400109219,0,11
2021-12-09,34.80865002666249,0,18
2021-12-10,30.06289363017187,0,23
2021-12-11,1.0423834143890645,0,3
2021-12-12,-7.78196196032343,0,4
2021-12-13,25.66111919875001,0,2
2021-12-14,64.73935554907814,0,2
2021-12-15,33.983884727876564,0,10
2021-12-16,27.691084440832814,0,7
2021-12-17,26.615991290018748,0,2
2021-12-18,-9.691457673381246,0,15
2021-12-19,-5.762974950196867,0,12
2021-12-20,16.00593628581876,0,7
2021-12-21,10.906117841515632,0,2
2021-12-22,13.930768769260943,0,8
2021-12-23,5.845491602443753,0,1
2021-12-24,0.005771814487502969,0,7
