,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2018-04-10,19,0.0,0
2018-04-11,16,1.0,0
2018-04-12,26,-0.6000000000000001,0
2018-04-13,13,-0.12,8
2018-04-14,0,2.944,1
2018-04-15,0,0.16639999999999966,0
2018-04-16,9,4.417152,3
2018-04-17,5,-1.0247552000000004,0
2018-04-18,12,0.2542745599999998,0
2018-04-19,9,2.3579156479999996,0
2018-04-20,5,-2.8340636672000006,0
2018-04-21,2,-1.6781747200000001,0
2018-04-22,5,-0.7267471360000001,0
2018-04-23,11,0.5334508544000001,0
2018-04-24,20,-0.9159281664000002,0
2018-04-25,18,-0.3474337792000002,0
2018-04-26,8,0.8060903423999999,2
2018-04-27,16,1.2762665984,0
2018-04-28,1,-1.3956986880000002,3
2018-04-29,0,-0.32125726720000003,0
2018-04-30,17,-0.15852543999999996,0
2018-05-01,7,-0.10038835199999996,0
2018-05-02,41,-0.07095326720000003,11
2018-05-03,19,0.95356416,1
2018-05-04,58,1.3638087679999997,0
2018-05-05,10,-0.3491827712000002,0
2018-05-06,0,-0.9130041344000002,5
2018-05-07,14,-0.26559999999999995,0
2018-05-08,36,0.853952,2
2018-05-09,21,-0.6960512000000001,1
2018-05-10,7,-0.18928384000000004,0
2018-05-11,46,-0.10894643200000002,0
2018-05-12,3,-0.07570821120000001,0
2018-05-13,0,-0.05019248640000003,0
2018-05-14,45,0.9747427328,0
2018-05-15,20,0.38707455999999996,0
2018-05-16,14,2.269659648,0
2018-05-17,18,-1.9845020672000002,0
2018-05-18,10,-0.44959999999999994,0
2018-05-19,0,-0.22444799999999995,0
2018-05-20,0,-0.14040319999999992,0
2018-05-21,1,-0.09822464000000003,0
2018-05-22,16,-0.07353139200000004,0
2018-05-23,0,-0.057618739200000046,1
2018-05-24,4,-0.03952312320000004,3
2018-05-25,5,-0.025506201600000028,1
2018-05-26,19,0.0,0
2018-05-27,3,0.0,1
2018-05-28,15,0.0,1
2018-05-29,25,0.0,0
2018-05-30,24,0.0,0
