,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2020-03-27,1,15,0.2177695743999999
2020-03-28,0,0,-0.7697271807999995
2020-03-29,0,0,-0.5257267199999998
2020-03-30,2,4,14.684855500800001
2020-03-31,3,0,34.7711181824
2020-04-01,1,1,-0.8961768447999994
2020-04-02,0,4,1.5802447871999972
2020-04-03,1,7,12.602603929599997
2020-04-04,0,0,-2.0182277120000007
2020-04-05,0,0,6.9459306495999975
2020-04-06,2,10,4.194316799999999
2020-04-07,4,4,3.35558656
2020-04-08,2,2,-1.428700671999998
2020-04-09,1,1,8.801542348800002
2020-04-10,0,6,-1.1772342271999996
2020-04-11,0,0,2.1730757632
2020-04-12,0,0,13.2393290752
2020-04-13,0,5,0.25227888640000096
2020-04-14,1,4,9.6094155776
2020-04-15,7,0,-0.5358596096000001
2020-04-16,0,2,0.8473950207999992
2020-04-17,0,1,6.3164392448
2020-04-18,0,0,8.5192302592
2020-04-19,0,0,3.7393138688
