,tajo/ladle,storybookjs/storybook,histoire-dev/histoire
2023-01-04,0,11.22186013599219,0
2023-01-05,0,19.44973828855469,0
2023-01-06,0,27.682001782076565,0
2023-01-07,0,13.504002835503126,0
2023-01-08,0,1.3721061207265635,0
2023-01-09,1,34.07619215867188,0
2023-01-10,0,61.568846603825,0
2023-01-11,0,14.549119545760934,0
2023-01-12,0,44.851564613459374,0
2023-01-13,1,78.7456543708,0
2023-01-14,0,13.153678697121876,0
2023-01-15,0,6.0256577572515635,0
2023-01-16,0,36.45393620067188,0
2023-01-17,0,43.738040230154695,0
2023-01-18,0,30.13282849982188,0
2023-01-19,0,64.71525368841563,0
2023-01-20,0,46.69423553052344,0
