,pallets/flask,expressjs/express,django/django
2011-08-02,0,1,1.0
2011-08-03,0,0,0.0
2011-08-04,2,3,0.0
2011-08-05,15,0,0.0
2011-08-06,1,0,5.0
2011-08-07,6,0,1.0
2011-08-08,2,4,1.0
2011-08-09,3,4,0.0
2011-08-10,13,3,2.0
2011-08-11,0,3,2.0
2011-08-12,1,0,14.0
2011-08-13,0,0,7.0
2011-08-14,0,2,1.0
2011-08-15,0,1,3.0
2011-08-16,0,0,0.0
2011-08-17,2,9,2.0
2011-08-18,0,5,4.0
2011-08-19,0,6,1.0
2011-08-20,0,5,2.0
2011-08-21,0,1,5.0
2011-08-22,0,4,13.0
2011-08-23,0,0,20.0
2011-08-24,1,0,2.0
2011-08-25,19,0,6.0
2011-08-26,28,0,11.0
2011-08-27,0,0,2.0
2011-08-28,0,0,7.0
2011-08-29,2,1,3.0
2011-08-30,2,0,3.0
2011-08-31,3,1,1.0
2011-09-01,3,0,0.0
2011-09-02,0,0,2.0
2011-09-03,1,0,3.0
2011-09-04,0,0,3.0
2011-09-05,2,0,0.0
2011-09-06,0,3,0.0
2011-09-07,4,2,0.0
2011-09-08,0,0,8.0
2011-09-09,0,0,20.0
2011-09-10,1,0,30.0
2011-09-11,0,0,15.0
2011-09-12,0,0,2.0
2011-09-13,0,0,5.0
2011-09-14,2,0,2.0
2011-09-15,0,0,2.0
2011-09-16,1,0,9.0
2011-09-17,5,0,3.0
2011-09-18,15,0,6.0
2011-09-19,4,0,2.0
2011-09-20,1,0,2.0
2011-09-21,3,2,9.0
2011-09-22,2,0,18.0
2011-09-23,3,0,4.0
2011-09-24,3,0,3.0
2011-09-25,8,0,2.0
2011-09-26,0,0,4.0
2011-09-27,3,1,2.0
2011-09-28,0,1,2.0
2011-09-29,3,0,3.0
2011-09-30,0,0,5.0
2011-10-01,3,0,1.0
2011-10-02,0,0,1.0
2011-10-03,0,0,1.0
2011-10-04,0,0,3.0
2011-10-05,0,4,5.0
2011-10-06,5,0,3.0
2011-10-07,4,42,8.0
2011-10-08,0,0,5.0
2011-10-09,0,4,1.0
2011-10-10,0,0,5.0
2011-10-11,0,3,5.0
2011-10-12,1,0,2.0
2011-10-13,2,4,19.0
2011-10-14,0,2,5.0
2011-10-15,0,3,3.0
2011-10-16,0,0,8.0
2011-10-17,2,0,10.0
2011-10-18,0,0,4.0
2011-10-19,0,0,2.0
2011-10-20,0,0,4.0
2011-10-21,0,0,1.0
2011-10-22,0,0,7.0
2011-10-23,0,0,2.0
2011-10-24,0,0,2.0
2011-10-25,0,0,1.0
2011-10-26,0,0,10.0
2011-10-27,0,0,1.0
2011-10-28,0,0,4.0
2011-10-29,0,0,7.0
2011-10-30,0,2,2.0
2011-10-31,0,0,3.0
2011-11-01,0,0,6.0
2011-11-02,2,0,1.0
2011-11-03,0,0,1.0
2011-11-04,2,4,2.0
2011-11-05,3,0,0.0
2011-11-06,0,0,3.0
2011-11-07,0,0,3.0
2011-11-08,0,9,0.0
2011-11-09,0,76,1.0
2011-11-10,1,33,1.0
2011-11-11,0,37,2.0
2011-11-12,0,1,10.0
2011-11-13,0,0,4.0
2011-11-14,0,0,0.0
2011-11-15,0,0,1.0
2011-11-16,0,2,4.0
2011-11-17,0,1,3.0
2011-11-18,0,0,5.0
2011-11-19,0,0,8.0
2011-11-20,4,27,12.0
2011-11-21,0,0,10.0
2011-11-22,0,0,6.0
2011-11-23,0,2,0.0
2011-11-24,0,17,2.0
2011-11-25,1,1,2.0
2011-11-26,0,0,2.0
2011-11-27,0,0,8.0
2011-11-28,2,1,1.0
2011-11-29,0,0,3.0
2011-11-30,0,0,0.0
2011-12-01,0,0,2.0
2011-12-02,0,0,0.0
2011-12-03,0,0,2.0
2011-12-04,1,0,1.0
2011-12-05,0,0,1.0
2011-12-06,0,8,0.0
2011-12-07,0,9,5.0
2011-12-08,0,1,0.0
2011-12-09,0,5,14.0
2011-12-10,0,2,0.0
