,vuejs/core,sveltejs/svelte,facebook/react
2024-05-12,0,1.7194844910703126,0
2024-05-13,0,9.961500101984376,4
2024-05-14,0,9.226784547901563,7
2024-05-15,1,8.90135883154375,14
2024-05-16,0,10.713684257278125,10
2024-05-17,0,-1.6220156637109375,18
2024-05-18,0,-1.6105071039781238,1
2024-05-19,0,-1.129965066687498,2
2024-05-20,5,6.18809125202344,9
2024-05-21,2,5.672558952970314,9
2024-05-22,0,5.478107607682813,3
2024-05-23,0,17.43048111518281,9
2024-05-24,2,3.2129933566515616,3
2024-05-25,0,-2.0307081459828127,2
2024-05-26,0,-1.169487690035937,1
2024-05-27,14,5.153805288750002,0
2024-05-28,2,4.733038597640626,10
2024-05-29,1,6.579795229889063,16
2024-05-30,14,2.3434775373890626,7
2024-05-31,7,8.637872907451563,15
2024-06-01,0,-1.8456635762765625,0
2024-06-02,0,2.0446343097843758,0
2024-06-03,0,3.0578817475000006,12
2024-06-04,8,6.964639844406252,4
2024-06-05,4,3.5241318866906255,5
2024-06-06,4,11.661077970659376,9
2024-06-07,5,0.8995987151499998,8
2024-06-08,0,7.5739684222,2
2024-06-09,0,0.19233583589062508,0
2024-06-10,10,3.781927925953126,15
2024-06-11,1,0.6639653078296883,15
2024-06-12,0,2.9469706919812513,8
2024-06-13,0,3.882387775884376,4
2024-06-14,20,0.8093324668671882,10
2024-06-15,0,-0.9249660632640618,1
2024-06-16,0,-0.5466923297484367,0
2024-06-17,2,11.598701694895313,6
2024-06-18,1,4.53861653735,2
2024-06-19,0,4.656450763789062,2
2024-06-20,0,6.651136536615624,6
2024-06-21,0,3.407425632278125,15
2024-06-22,14,-1.4095068887109372,6
2024-06-23,3,1.151582644928126,0
2024-06-24,3,8.18340307,4
2024-06-25,0,5.517399491312501,13
2024-06-26,1,2.4273618639750003,10
2024-06-27,0,3.724812374190625,5
2024-06-28,6,1.7198958994093756,5
2024-06-29,1,4.929955339634375,0
2024-06-30,0,-0.25560701767968697,1
2024-07-01,0,5.165606520218751,10
2024-07-02,0,6.8082123040375,4
2024-07-03,0,6.476422038567188,4
2024-07-04,0,5.359617261435938,4
2024-07-05,1,1.3782181110281249,0
2024-07-06,0,-1.2554238917265619,1
2024-07-07,0,1.1985937930484387,0
2024-07-08,2,13.20910879426875,6
2024-07-09,0,9.075340849370313,5
2024-07-10,0,7.856826473159375,9
2024-07-11,5,4.803795764337499,9
2024-07-12,3,4.0475413998531256,11
2024-07-13,6,-1.7667429317984364,3
2024-07-14,0,0.9149386248921894,0
2024-07-15,8,6.003964488968752,7
2024-07-16,6,6.568802878959376,15
2024-07-17,12,6.305393071325001,6
2024-07-18,2,3.2544765431984377,16
2024-07-19,11,1.5176001060312503,1
2024-07-20,0,-0.17364312084531175,1
2024-07-21,0,2.1635514047843762,0
2024-07-22,0,8.13516490021875,9
2024-07-23,0,4.51610718381875,9
2024-07-24,9,15.550589145623437,13
2024-07-25,1,9.456703906837499,21
2024-07-26,0,3.4682117633843745,10
2024-07-27,0,1.9851953145234376,0
2024-07-28,0,1.3535329281265638,0
2024-07-29,7,5.6111461171671895,27
2024-07-30,0,1.331996235251564,18
2024-07-31,6,3.640612962832814,5
2024-08-01,1,5.6138946335187505,4
2024-08-02,7,4.419701773201563,11
2024-08-03,5,-0.47436168102499954,1
2024-08-04,1,0.06475570647187578,0
2024-08-05,14,3.279336489559376,3
2024-08-06,22,2.0984418500328132,13
2024-08-07,22,-0.8609624755484369,2
2024-08-08,20,1.484554678564063,10
2024-08-09,2,-0.5729633937890619,8
2024-08-10,2,10.643087945404687,0
2024-08-11,5,2.6709465755187494,0
2024-08-12,7,10.961847011948437,8
2024-08-13,6,0.19431330665156143,6
2024-08-14,2,3.8300881258093753,10
2024-08-15,9,11.760681799892188,8
2024-08-16,8,2.94166423646875,13
2024-08-17,0,6.3462975861781254,2
2024-08-18,0,2.1613836218281253,1
2024-08-19,7,1.4581947400421889,5
